O|0011101011010
L|0011101011011
;|001110101100
F|00111010111
U|01100111010
E|01100111011
Q|0011101010
j|0110011100
C|1110100100
x|1110100101
A|1110100110
I|1110100111
V|001110100
D|011001100
S|011001101
M|011001111
N|00111000
P|00111001

|00111011
h|11101000
f|0110010
g|1110101
q|1110110
b|1110111
v|001111
,|011000
p|110010
.|110011
d|00110
c|01101
o|11000
m|11100
r|0010
n|0100
l|0101
a|0111
s|1000
t|1001
u|1101
i|1111
e|000
 |101
3
